,Kilometraje,Precio,Anho,Transmisión,Vehículo,Región,Ciudad,Combustible,Puertas,Color Exterior,Pasajeros,Litros (motor),Consumo de combustible (combinado),Cilindros
84,70.200 kms,$ 10.490.000,2014,automático,2014 Subaru XV LIMITED 2.0 TOP DE LINEA,Metropolitana de Santiago,Santiago,Bencina,5,AZUL,,, km/l,
85,104.000 kms,$ 8.700.000,2012,automático,2012 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,gris grafito,5,2.0,"15,2 km/l",4
86,1.130.000 kms,$ 8.500.000,2013,automático,2013 Subaru XV 2.0i CVT Dynamic 4WD,OHiggins,Rancagua,Bencina,5,,5,2.0,"15,2 km/l",4
87,36.300 kms,$ 11.790.000,2016,automático,2016 Subaru XV 2.0i 4WD,Los Lagos,Puerto Montt,Bencina,5,Blanco perlado,,, km/l,
88,28.000 kms,$ 13.350.000,2017,manual,2017 Subaru XV 2.0D Manual 4WD,Atacama,Copiapo,Diesel (petróleo),5,blanco nacarado,5,2.0,"17,5 km/l",4
89,34.000 kms,$ 10.490.000,2016,manual,2016 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Grafito,5,1.6,"15,9 km/l",4
90,,$ 8.150.000,2012,automático,2012 Subaru XV 2.0i CVT Limited AWD,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,5,2.0,"15,2 km/l",4
91,120.000 kms,$ 8.990.000,2014,automático,2014 Subaru XV 2.0i CVT Dynamic E 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,5,2.0,"13,5 km/l",4
92,102.000 kms,$ 8.150.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Grafito,5,2.0,"15,2 km/l",4
93,127.131 kms,$ 9.600.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Blanco,5,2.0,"15,2 km/l",4
94,81.000 kms,$ 9.890.000,2014,automático,2014 Subaru XV 2.0i CVT E 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS OSCURO,5,2.0,"13,5 km/l",4
95,35.428 kms,$ 10.990.000,2015,manual,2015 Subaru XV 2.0D 4WD,Metropolitana de Santiago,Santiago,Diesel (petróleo),5,Blanco,,, km/l,
96,51.000 kms,$ 9.500.000,2013,manual,2013 Subaru XV 2.0D CVT MT DIESEL,Metropolitana de Santiago,Santiago,Diesel (petróleo),5,Plata,,, km/l,
97,72.500 kms,$ 9.260.000,2015,automático,2015 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Naranjo,5,2.0,"13,5 km/l",4
98,122.210 kms,$ 8.700.000,2013,manual,2013 Subaru XV 2.0i 4WD,Los Lagos,Puerto Montt,Bencina,5,BLANCO,5,2.0,"14,5 km/l",4
99,102.000 kms,$ 10.990.000,2014,automático,2014 Subaru XV 2.0i CVT Limited SP 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,5,2.0,"12,7 km/l",4
