,Región,Consumo de combustible (combinado),Ciudad,Kilometraje,Color Exterior,Transmisión,Vehículo,Combustible,Anho,Precio,Puertas,Litros (motor),Cilindros,Pasajeros
128,Metropolitana de Santiago,0 km/l,Santiago,120.000 kms,Azul,automático,2008 Subaru LEGACY 2.0R TW AUTO AWD UX,Bencina,2008,$ 4.700.000,5,2,4,5
129,Metropolitana de Santiago,0 km/l,Isla de Maipo,270.000 kms,,automático,1997 Subaru LEGACY 2.2 GX AS,Bencina,1997,$ 2.000.000,5,2.2,4,5
130,Valparaíso, km/l,Los Andes,220.000 kms,blanco,automático,1993 Subaru LEGACY GX,Bencina,1993,$ 1.500.000,5,,,
131,Metropolitana de Santiago,0 km/l,Santiago,26.000 kms,BLANCO,automático,2017 Subaru LEGACY 2.5I CVT Auto XS 4WD,Bencina,2017,$ 15.900.000,4,2.5,4,5
132,Metropolitana de Santiago,"12,3 km/l",Santiago,105.000 kms,verde metalico,automático,2013 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2013,$ 6.890.000,4,2.0,4,5
133,Valparaíso, km/l,Quilpue,,GRIS,automático,2002 Subaru LEGACY 2.0 I,Bencina,2002,$ 2.980.000,5,,,
134,Atacama,0 km/l,Vallenar,95.000 kms,GRIS GRAFITO,automático,2010 Subaru LEGACY 2.5I 4D AWD CVT LIMITED,Bencina,2010,$ 7.450.000,4,2.5,4,5
135,Bío Bío, km/l,Concepcion,48.000 kms,Plateado hielo,automático,2013 Subaru LEGACY XS AWD 2.0R AUT,Bencina,2013,$ 8.900.000,5,,,
136,Bío Bío, km/l,Concepcion,140.000 kms,Gris Grafito,automático,2007 Subaru LEGACY 3.0R 4D 5AT AWD,Bencina,2007,$ 6.200.000,4,,,
137,Araucanía, km/l,Temuco,160.000 kms,blanco,automático,1996 Subaru LEGACY 2.2 w4d,Bencina,1996,$ 1.600.000,5,,,
138,Los Lagos,0 km/l,Osorno,131.000 kms,,automático,2006 Subaru LEGACY 2.0 4WD AT XA,Bencina,2006,$ 5.000.000,4,2,4,5
139,Metropolitana de Santiago, km/l,Santiago,53.000 kms,GRAFITO,automático,2015 Subaru LEGACY LEGACY AWD GX AT,Bencina,2015,$ 11.890.000,4,,,
140,Metropolitana de Santiago,0 km/l,Santiago,63.000 kms,GRIS,automático,2016 Subaru LEGACY 3.6R CVT Limited 4WD,Bencina,2016,$ 15.790.000,4,3.6,6,5
