,Consumo de combustible (combinado),Puertas,Kilometraje,Transmisión,Combustible,Cilindros,Pasajeros,Litros (motor),Ciudad,Precio,Vehículo,Anho,Color Exterior,Región
13,25 km/l,5,63.000 kms,manual,Diesel (petróleo),4,5,1.6,Talca,$ 10.590.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,,Maule
14, km/l,5,,automático,Bencina,,,,Puerto Montt,$ 12.490.000,2017 Peugeot 2008 1.2 Puretech 110 HP Auto Allur,2017,blanco,Los Lagos
15, km/l,5,53.000 kms,manual,Diesel (petróleo),,,,Frutillar,$ 10.000.000,2017 Peugeot 2008 1.6,2017,BLANCO,Los Lagos
16, km/l,5,55.000 kms,manual,Diesel (petróleo),,,,Concepcion,$ 10.800.000,2015 Peugeot 2008 1.6 e-HDI 115 HP Feline,2015,BLANCO,Bío Bío
17,25 km/l,5,51.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.000.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,blanco,Metropolitana de Santiago
18,"25,1 km/l",5,9.000 kms,manual,Diesel (petróleo),4,5,1.6,Rancagua,$ 11.490.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allure,2017,,OHiggins
19,25 km/l,5,93.000 kms,manual,Diesel (petróleo),4,5,1.4,Viña del Mar,$ 9.390.000,2015 Peugeot 2008 1.4 HDI 68 HP Active,2015,GRIS PLATA,Valparaíso
20,25 km/l,5,,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 8.985.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,BLANCO,Metropolitana de Santiago
21,25 km/l,5,,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 8.980.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,,Metropolitana de Santiago
22, km/l,4,20.000 kms,automático,Bencina,,,,Villa Alemana,$ 10.890.000,2016 Peugeot 2008 FINANCIAMIENTO HASTA 60 CUOTAS,2016,PLATA,Valparaíso
23, km/l,5,16.000 kms,manual,Diesel (petróleo),,,,Villa Alemana,$ 12.890.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allu,2017,ROJO,Valparaíso
24, km/l,4,,manual,Diesel (petróleo),,,,Villa Alemana,$ 10.990.000,2016 Peugeot 2008 FINANCIAMIENTO HASTA 60 CUOTAS,2016,BLANCO,Valparaíso
25, km/l,4,45.000 kms,manual,Diesel (petróleo),,,,Santiago,$ 9.990.000,2016 Peugeot 2008 ACTIVE E HDI 1.6,2016,GRIS,Metropolitana de Santiago
26, km/l,5,60.000 kms,manual,Diesel (petróleo),,,,Santiago,$ 10.490.000,2015 Peugeot 2008 ,2015,GRIS ARTENSE,Metropolitana de Santiago
27,25 km/l,5,49.000 kms,manual,Diesel (petróleo),4,5,1.6,Concepcion,$ 10.490.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,BLANCO NACARADO,Bío Bío
28,25 km/l,5,58.000 kms,manual,Diesel (petróleo),4,5,1.6,Colina,$ 9.250.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Active,2015,GRIS OSCURO,Metropolitana de Santiago
29,25 km/l,5,,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 11.300.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,CAFE,Metropolitana de Santiago
30,"20,4 km/l",5,60.000 kms,manual,Bencina,3,5,1.2,Santiago,$ 8.300.000,2015 Peugeot 2008 1.2 VTi 82 HP Active,2015,Gris platinum,Metropolitana de Santiago
31, km/l,5,93.000 kms,manual,Diesel (petróleo),,,,Temuco,$ 9.500.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Premier,2014,plata,Araucanía
32,25 km/l,5,95.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.600.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Premier,2014,GRIS ARTENSE,Metropolitana de Santiago
33,25 km/l,5,90.000 kms,manual,Diesel (petróleo),4,5,1.6,Talca,$ 10.240.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Premier,2014,negro,Maule
34,"25,1 km/l",5,34.000 kms,manual,Diesel (petróleo),4,5,1.6,Valparaiso,$ 11.250.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Active Pack,2017,blanco,Valparaíso
35,"25,1 km/l",5,69.000 kms,manual,Diesel (petróleo),4,5,1.6,Concón,$ 11.200.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allure,2017,Blanco Nacarado,Valparaíso
36,25 km/l,5,,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 8.990.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,blanco,Metropolitana de Santiago
37,25 km/l,5,55.000 kms,manual,Diesel (petróleo),4,5,1.6,Concepcion,$ 9.999.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,blanco,Bío Bío
38,25 km/l,5,80.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.590.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,GRIS,Metropolitana de Santiago
39, km/l,5,90.000 kms,manual,Diesel (petróleo),,,,Valdivia,$ 9.500.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,,Los Ríos
40,25 km/l,5,22.450 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 11.990.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,Gris Plantinum,Metropolitana de Santiago
41, km/l,5,47.000 kms,manual,Diesel (petróleo),,,,Talcahuano,$ 8.990.000,2014 Peugeot 2008 1.4 HDI 68 HP Active,2014,Gris Artense,Bío Bío
42, km/l,5,59.000 kms,automático,Diesel (petróleo),,,,Colina,$ 9.950.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,Blanco,Metropolitana de Santiago
43,25 km/l,5,81.000 kms,manual,Diesel (petróleo),4,5,1.6,Concepcion,$ 10.680.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,PLATA,Bío Bío
44,25 km/l,5,51.042 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.780.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Active,2016,GRIS ARTENSE,Metropolitana de Santiago
45, km/l,5,27.628 kms,automático,Bencina,,,,Santiago,$ 11.590.000,2016 Peugeot 2008 1.2 Puretech 110 Auto HP Allur,2016,GRIS,Metropolitana de Santiago
